"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5594","Register user","tests","Mon May 12 14:48:15 GMT 2025","passed","Mon May 12 14:48:21 GMT 2025","TestRegisterUser","test_register_user","",""
"","6893","Login User with correct email and password","tests","Mon May 12 14:48:24 GMT 2025","passed","Mon May 12 14:48:31 GMT 2025","TestLoginUser","test_login_user","",""
"","2990","Register User with existing email","tests","Mon May 12 14:48:27 GMT 2025","passed","Mon May 12 14:48:30 GMT 2025","TestRegisterUser","test_register_user","",""
"","646","Verify Test Cases Page","tests","Mon May 12 14:48:30 GMT 2025","passed","Mon May 12 14:48:31 GMT 2025","TestCasesPage","test_testcases","",""
"","5605","Search Product","tests","Mon May 12 14:48:23 GMT 2025","passed","Mon May 12 14:48:29 GMT 2025","TestProducts","test_products","",""
"","5056","Verify All Products and product detail page","tests","Mon May 12 14:48:16 GMT 2025","passed","Mon May 12 14:48:21 GMT 2025","TestProducts","test_products","",""
"","2181","Contact Us Form","tests","Mon May 12 14:48:16 GMT 2025","passed","Mon May 12 14:48:18 GMT 2025","TestContactUs","test_contact_us","",""
"","2415","Login User with incorrect email and password","tests","Mon May 12 14:48:15 GMT 2025","passed","Mon May 12 14:48:18 GMT 2025","TestLoginUser","test_login_user","",""
"","1794","Verify Subscription in home page","tests","Mon May 12 14:48:32 GMT 2025","passed","Mon May 12 14:48:34 GMT 2025","TestSubscription","test_subscription","",""
"","4607","Logout User","tests","Mon May 12 14:48:24 GMT 2025","passed","Mon May 12 14:48:28 GMT 2025","TestLoginUser","test_login_user","",""
